Detector;Time;qPKW;vPKW
302:1Din;540;11;50
302:21Din;540;135;49
302:22Din;540;70;48
302:24Din;540;57;48
302:25Din;540;61;46
302:27Din;540;199;49
302:29Din;540;130;50
302:3Din;540;34;50
302:5Din;540;79;48
302:7Din;540;64;47
302:9Din;540;252;50
306:11Din;540;87;49
306:13Din;540;115;50
306:15Din;540;59;49
306:17Din;540;75;50
306:19Din;540;28;50
306:1Din;540;201;49
306:21Din;540;83;48
306:23Din;540;69;49
306:25Din;540;53;49
306:27Din;540;153;49
306:29Din;540;108;49
306:3Din;540;231;47
306:5Din;540;206;49
306:7Din;540;30;48
306:9Din;540;56;49
402:10Din;540;104;48
402:12Din;540;87;49
402:14Din;540;84;51
402:16Din;540;104;50
402:18Din;540;48;48
402:1Din;540;136;49
402:3Din;540;177;51
402:5Din;540;122;49
402:8Din;540;1;49
404:11Din;540;53;49
404:13Din;540;148;50
404:15Din;540;117;49
404:17Din;540;0;51
404:1Din;540;143;50
404:20Din;540;69;49
404:21Din;540;244;49
404:23Din;540;182;49
404:3Din;540;170;50
404:5Din;540;41;51
404:8Din;540;133;51
404:9Din;540;194;48
502:11Din;540;243;49
502:13Din;540;237;51
502:15Din;540;69;50
502:17Din;540;130;48
502:19Din;540;165;48
502:1Din;540;69;49
502:21Din;540;215;49
502:23Din;540;66;47
502:3Din;540;151;49
502:5Din;540;177;48
502:7Din;540;108;47
502:9Din;540;56;49
601:11Din;540;61;49
601:13Din;540;54;48
601:15Din;540;0;51
601:17Din;540;32;48
601:1Din;540;66;47
601:5Din;540;1;51
601:7Din;540;46;52
302:11Din;600;88;51
302:13Din;600;30;51
302:15Din;600;60;48
302:17Din;600;23;48
302:19Din;600;21;51
302:1Din;600;10;51
302:21Din;600;97;47
302:22Din;600;64;50
302:24Din;600;47;48
302:25Din;600;35;48
302:27Din;600;155;49
302:29Din;600;113;48
302:3Din;600;31;47
302:5Din;600;93;49
302:7Din;600;59;49
302:9Din;600;161;47
306:11Din;600;56;50
306:13Din;600;53;49
306:15Din;600;37;49
306:17Din;600;48;51
306:19Din;600;19;51
306:1Din;600;148;48
306:21Din;600;73;47
306:23Din;600;80;48
306:25Din;600;47;47
306:27Din;600;105;49
306:29Din;600;79;50
306:3Din;600;162;50
306:5Din;600;154;47
306:7Din;600;27;47
306:9Din;600;33;49
402:10Din;600;85;48
402:12Din;600;72;50
402:14Din;600;41;48
402:16Din;600;69;49
402:18Din;600;25;47
402:1Din;600;130;49
402:3Din;600;150;50
402:5Din;600;86;48
402:8Din;600;16;48
404:11Din;600;32;49
404:13Din;600;121;51
404:15Din;600;93;50
404:17Din;600;0;49
404:1Din;600;119;49
404:20Din;600;83;48
404:21Din;600;212;50
404:23Din;600;166;50
404:3Din;600;122;50
404:5Din;600;32;49
404:8Din;600;133;48
404:9Din;600;123;49
502:11Din;600;154;49
502:13Din;600;131;51
502:15Din;600;29;47
502:17Din;600;67;48
502:19Din;600;121;49
502:1Din;600;52;51
502:21Din;600;156;50
502:23Din;600;71;49
502:3Din;600;103;50
502:5Din;600;108;51
502:7Din;600;107;47
502:9Din;600;72;48
601:11Din;600;53;48
601:13Din;600;53;51
601:15Din;600;5;46
601:17Din;600;29;49
601:1Din;600;48;51
601:5Din;600;1;49
601:7Din;600;42;48
302:11Din;660;63;49
302:13Din;660;38;49
302:15Din;660;62;50
302:17Din;660;26;50
302:19Din;660;23;48
302:1Din;660;11;49
302:21Din;660;84;48
302:22Din;660;38;49
302:24Din;660;37;47
302:25Din;660;45;51
302:27Din;660;159;47
302:29Din;660;109;47
302:3Din;660;35;46
302:5Din;660;92;47
302:7Din;660;68;52
302:9Din;660;156;51
306:11Din;660;50;49
306:13Din;660;46;50
306:15Din;660;37;48
306:17Din;660;49;49
306:19Din;660;23;48
306:1Din;660;139;50
306:21Din;660;79;48
306:23Din;660;91;48
306:25Din;660;43;49
306:27Din;660;101;50
306:29Din;660;76;49
306:3Din;660;131;49
306:5Din;660;132;49
306:7Din;660;33;49
306:9Din;660;28;49
402:10Din;660;98;49
402:12Din;660;74;50
402:14Din;660;47;47
402:16Din;660;74;52
402:18Din;660;27;49
402:1Din;660;112;51
402:3Din;660;98;52
402:5Din;660;77;49
402:8Din;660;6;47
404:11Din;660;41;50
404:13Din;660;114;51
404:15Din;660;96;50
404:17Din;660;1;49
404:1Din;660;105;49
404:20Din;660;81;50
404:21Din;660;193;48
404:23Din;660;177;48
404:3Din;660;122;49
404:5Din;660;47;48
404:8Din;660;133;50
404:9Din;660;115;50
502:11Din;660;137;51
502:13Din;660;117;50
502:15Din;660;46;51
502:17Din;660;98;51
502:19Din;660;107;50
502:1Din;660;58;50
502:21Din;660;186;49
502:23Din;660;97;48
502:3Din;660;114;50
502:5Din;660;89;47
502:7Din;660;121;49
502:9Din;660;90;49
601:11Din;660;59;50
601:13Din;660;43;50
601:15Din;660;4;48
601:17Din;660;25;53
601:1Din;660;51;50
601:5Din;660;3;52
601:7Din;660;40;50
302:11Din;720;67;47
302:13Din;720;33;48
302:15Din;720;48;47
302:17Din;720;22;50
302:19Din;720;26;47
302:1Din;720;12;49
302:21Din;720;77;49
302:22Din;720;35;51
302:24Din;720;46;47
302:25Din;720;51;49
302:27Din;720;210;50
302:29Din;720;119;49
302:3Din;720;40;47
302:5Din;720;93;49
302:7Din;720;73;47
302:9Din;720;148;49
306:11Din;720;56;48
306:13Din;720;50;48
306:15Din;720;31;52
306:17Din;720;46;51
306:19Din;720;21;49
306:1Din;720;169;47
306:21Din;720;76;48
306:23Din;720;109;48
306:25Din;720;54;50
306:27Din;720;95;47
306:29Din;720;83;48
306:3Din;720;149;49
306:5Din;720;132;50
306:7Din;720;42;49
306:9Din;720;42;48
402:10Din;720;105;48
402:12Din;720;98;48
402:14Din;720;46;50
402:16Din;720;86;50
402:18Din;720;30;48
402:1Din;720;129;50
402:3Din;720;111;48
402:5Din;720;73;51
402:8Din;720;5;50
404:11Din;720;45;50
404:13Din;720;113;48
404:15Din;720;97;50
404:17Din;720;1;49
404:1Din;720;129;47
404:20Din;720;72;51
404:21Din;720;191;49
404:23Din;720;177;50
404:3Din;720;140;49
404:5Din;720;44;50
404:8Din;720;127;49
404:9Din;720;115;50
502:11Din;720;166;50
502:13Din;720;103;50
502:15Din;720;46;50
502:17Din;720;83;46
502:19Din;720;116;51
502:1Din;720;45;48
502:21Din;720;158;47
502:23Din;720;137;49
502:3Din;720;88;47
502:5Din;720;100;50
502:7Din;720;129;49
502:9Din;720;93;49
601:11Din;720;53;50
601:13Din;720;53;49
601:15Din;720;2;50
601:17Din;720;19;48
601:1Din;720;50;48
601:5Din;720;2;50
601:7Din;720;37;49
302:11Din;780;102;51
302:13Din;780;44;47
302:15Din;780;67;48
302:17Din;780;18;47
302:19Din;780;23;47
302:1Din;780;11;51
302:21Din;780;83;52
302:22Din;780;24;49
302:24Din;780;47;50
302:25Din;780;73;50
302:27Din;780;208;49
302:29Din;780;124;50
302:3Din;780;45;52
302:5Din;780;103;50
302:7Din;780;71;49
302:9Din;780;163;52
306:11Din;780;66;49
306:13Din;780;60;49
306:15Din;780;41;48
306:17Din;780;35;48
306:19Din;780;26;48
306:1Din;780;186;51
306:21Din;780;81;49
306:23Din;780;88;48
306:25Din;780;49;49
306:27Din;780;85;51
306:29Din;780;81;48
306:3Din;780;171;48
306:5Din;780;162;49
306:7Din;780;49;49
306:9Din;780;44;48
402:10Din;780;104;48
402:12Din;780;99;50
402:14Din;780;55;48
402:16Din;780;108;48
402:18Din;780;49;49
402:1Din;780;106;48
402:3Din;780;99;50
402:5Din;780;78;49
402:8Din;780;8;51
404:11Din;780;37;50
404:13Din;780;112;49
404:15Din;780;73;50
404:17Din;780;1;48
404:1Din;780;127;50
404:20Din;780;78;47
404:21Din;780;191;47
404:23Din;780;170;48
404:3Din;780;140;49
404:5Din;780;44;50
404:8Din;780;148;51
404:9Din;780;101;49
502:11Din;780;195;49
502:13Din;780;131;52
502:15Din;780;59;49
502:17Din;780;71;50
502:19Din;780;111;48
502:1Din;780;47;48
502:21Din;780;163;47
502:23Din;780;128;50
502:3Din;780;91;49
502:5Din;780;131;47
502:7Din;780;152;48
502:9Din;780;84;50
601:11Din;780;69;51
601:13Din;780;55;46
601:15Din;780;3;49
601:17Din;780;12;49
601:1Din;780;53;46
601:5Din;780;1;49
601:7Din;780;39;51
302:11Din;840;72;48
302:13Din;840;46;48
302:15Din;840;51;48
302:17Din;840;18;50
302:19Din;840;15;49
302:1Din;840;15;49
302:21Din;840;61;50
